_rank,strategy,vt,sl,tp,session_start,session_end,hold,be,trail,median_pf,trades_per_month
1,fade_long,0.06,0.3,1.5,13,20,12,0.5,0.3,0,0
2,fade_long,0.06,0.3,2.0,13,20,12,0.5,0.3,0,0
3,fade_long,0.06,0.3,2.5,13,20,12,0.5,0.3,0,0
4,fade_long,0.06,0.3,3.0,13,20,12,0.5,0.3,0,0
5,fade_long,0.06,0.5,1.5,13,20,12,0.5,0.3,0,0
6,fade_long,0.06,0.5,2.0,13,20,12,0.5,0.3,0,0
7,fade_long,0.06,0.5,2.5,13,20,12,0.5,0.3,0,0
8,fade_long,0.06,0.5,3.0,13,20,12,0.5,0.3,0,0
9,fade_long,0.06,0.7,1.5,13,20,12,0.5,0.3,0,0
10,fade_long,0.06,0.7,2.0,13,20,12,0.5,0.3,0,0
11,fade_long,0.06,0.7,2.5,13,20,12,0.5,0.3,0,0
12,fade_long,0.06,0.7,3.0,13,20,12,0.5,0.3,0,0
13,fade_long,0.08,0.3,1.5,13,20,12,0.5,0.3,0,0
14,fade_long,0.08,0.3,2.0,13,20,12,0.5,0.3,0,0
15,fade_long,0.08,0.3,2.5,13,20,12,0.5,0.3,0,0
16,fade_long,0.08,0.3,3.0,13,20,12,0.5,0.3,0,0
17,fade_long,0.08,0.5,1.5,13,20,12,0.5,0.3,0,0
18,fade_long,0.08,0.5,2.0,13,20,12,0.5,0.3,0,0
19,fade_long,0.08,0.5,2.5,13,20,12,0.5,0.3,0,0
20,fade_long,0.08,0.5,3.0,13,20,12,0.5,0.3,0,0
21,fade_long,0.08,0.7,1.5,13,20,12,0.5,0.3,0,0
22,fade_long,0.08,0.7,2.0,13,20,12,0.5,0.3,0,0
23,fade_long,0.08,0.7,2.5,13,20,12,0.5,0.3,0,0
24,fade_long,0.08,0.7,3.0,13,20,12,0.5,0.3,0,0
25,fade_long,0.1,0.3,1.5,13,20,12,0.5,0.3,0,0
26,fade_long,0.1,0.3,2.0,13,20,12,0.5,0.3,0,0
27,fade_long,0.1,0.3,2.5,13,20,12,0.5,0.3,0,0
28,fade_long,0.1,0.3,3.0,13,20,12,0.5,0.3,0,0
29,fade_long,0.1,0.5,1.5,13,20,12,0.5,0.3,0,0
30,fade_long,0.1,0.5,2.0,13,20,12,0.5,0.3,0,0
31,fade_long,0.1,0.5,2.5,13,20,12,0.5,0.3,0,0
32,fade_long,0.1,0.5,3.0,13,20,12,0.5,0.3,0,0
33,fade_long,0.1,0.7,1.5,13,20,12,0.5,0.3,0,0
34,fade_long,0.1,0.7,2.0,13,20,12,0.5,0.3,0,0
35,fade_long,0.1,0.7,2.5,13,20,12,0.5,0.3,0,0
36,fade_long,0.1,0.7,3.0,13,20,12,0.5,0.3,0,0
37,fade_long,0.12,0.3,1.5,13,20,12,0.5,0.3,0,0
38,fade_long,0.12,0.3,2.0,13,20,12,0.5,0.3,0,0
39,fade_long,0.12,0.3,2.5,13,20,12,0.5,0.3,0,0
40,fade_long,0.12,0.3,3.0,13,20,12,0.5,0.3,0,0
41,fade_long,0.12,0.5,1.5,13,20,12,0.5,0.3,0,0
42,fade_long,0.12,0.5,2.0,13,20,12,0.5,0.3,0,0
43,fade_long,0.12,0.5,2.5,13,20,12,0.5,0.3,0,0
44,fade_long,0.12,0.5,3.0,13,20,12,0.5,0.3,0,0
45,fade_long,0.12,0.7,1.5,13,20,12,0.5,0.3,0,0
46,fade_long,0.12,0.7,2.0,13,20,12,0.5,0.3,0,0
47,fade_long,0.12,0.7,2.5,13,20,12,0.5,0.3,0,0
48,fade_long,0.12,0.7,3.0,13,20,12,0.5,0.3,0,0
49,fade_long,0.14,0.3,1.5,13,20,12,0.5,0.3,0,0
50,fade_long,0.14,0.3,2.0,13,20,12,0.5,0.3,0,0
51,fade_long,0.14,0.3,2.5,13,20,12,0.5,0.3,0,0
52,fade_long,0.14,0.3,3.0,13,20,12,0.5,0.3,0,0
53,fade_long,0.14,0.5,1.5,13,20,12,0.5,0.3,0,0
54,fade_long,0.14,0.5,2.0,13,20,12,0.5,0.3,0,0
55,fade_long,0.14,0.5,2.5,13,20,12,0.5,0.3,0,0
56,fade_long,0.14,0.5,3.0,13,20,12,0.5,0.3,0,0
57,fade_long,0.14,0.7,1.5,13,20,12,0.5,0.3,0,0
58,fade_long,0.14,0.7,2.0,13,20,12,0.5,0.3,0,0
59,fade_long,0.14,0.7,2.5,13,20,12,0.5,0.3,0,0
60,fade_long,0.14,0.7,3.0,13,20,12,0.5,0.3,0,0
61,fade_long,0.16,0.3,1.5,13,20,12,0.5,0.3,0,0
62,fade_long,0.16,0.3,2.0,13,20,12,0.5,0.3,0,0
63,fade_long,0.16,0.3,2.5,13,20,12,0.5,0.3,0,0
64,fade_long,0.16,0.3,3.0,13,20,12,0.5,0.3,0,0
65,fade_long,0.16,0.5,1.5,13,20,12,0.5,0.3,0,0
66,fade_long,0.16,0.5,2.0,13,20,12,0.5,0.3,0,0
67,fade_long,0.16,0.5,2.5,13,20,12,0.5,0.3,0,0
68,fade_long,0.16,0.5,3.0,13,20,12,0.5,0.3,0,0
69,fade_long,0.16,0.7,1.5,13,20,12,0.5,0.3,0,0
70,fade_long,0.16,0.7,2.0,13,20,12,0.5,0.3,0,0
71,fade_long,0.16,0.7,2.5,13,20,12,0.5,0.3,0,0
72,fade_long,0.16,0.7,3.0,13,20,12,0.5,0.3,0,0
73,fade_long,0.2,0.3,1.5,13,20,12,0.5,0.3,0,0
74,fade_long,0.2,0.3,2.0,13,20,12,0.5,0.3,0,0
75,fade_long,0.2,0.3,2.5,13,20,12,0.5,0.3,0,0
76,fade_long,0.2,0.3,3.0,13,20,12,0.5,0.3,0,0
77,fade_long,0.2,0.5,1.5,13,20,12,0.5,0.3,0,0
78,fade_long,0.2,0.5,2.0,13,20,12,0.5,0.3,0,0
79,fade_long,0.2,0.5,2.5,13,20,12,0.5,0.3,0,0
80,fade_long,0.2,0.5,3.0,13,20,12,0.5,0.3,0,0
81,fade_long,0.2,0.7,1.5,13,20,12,0.5,0.3,0,0
82,fade_long,0.2,0.7,2.0,13,20,12,0.5,0.3,0,0
83,fade_long,0.2,0.7,2.5,13,20,12,0.5,0.3,0,0
84,fade_long,0.2,0.7,3.0,13,20,12,0.5,0.3,0,0
