label,strategy,vt,sl,tp,session_start,session_end,hold,be,trail,sim_median_pf,sim_trades_per_month,worker,wall_time_s,final_balance,pnl,trades,wr,pf,error
cfg01_fade_short,fade_short,0.15,0.5,8.0,7,20,48,0.0,0.0,1.4112,15.2,1,39.7,322.74,-677.26,515,0.0408,0.6775,
cfg02_fade_short,fade_short,0.15,0.5,8.0,7,20,48,0.0,0.5,1.4112,15.2,1,39.2,322.74,-677.26,515,0.0408,0.6775,
cfg03_fade_short,fade_short,0.15,0.5,8.0,7,20,12,0.0,0.0,1.3821,15.2,1,40.1,336.76,-663.24,516,0.0407,0.6819,
cfg04_fade_short,fade_short,0.15,0.5,8.0,7,20,12,0.0,0.5,1.3821,15.2,1,40.1,336.76,-663.24,516,0.0407,0.6819,
cfg05_fade_short,fade_short,0.15,0.5,8.0,7,20,24,0.0,0.0,1.3704,15.2,1,40.1,324.21,-675.79,515,0.0408,0.678,
cfg06_fade_long,fade_long,0.1,0.5,2.0,13,20,6,0.5,0.3,1.3712,14.9,1,30.5,2602.49,1602.49,801,0.372,1.2685,
cfg07_fade_long,fade_long,0.1,0.5,2.0,13,20,12,0.5,0.3,1.3712,14.9,1,30.5,2602.49,1602.49,801,0.372,1.2685,
cfg08_fade_long,fade_long,0.1,0.5,2.0,13,20,24,0.5,0.3,1.3712,14.9,1,30.5,2602.49,1602.49,801,0.372,1.2685,
cfg09_fade_long,fade_long,0.1,0.5,2.0,13,20,48,0.5,0.3,1.3712,14.9,1,31.0,2602.49,1602.49,801,0.372,1.2685,
cfg10_fade_long,fade_long,0.1,0.5,2.0,13,20,24,0.5,0.5,1.3264,14.9,1,31.5,2528.5,1528.5,799,0.373,1.2572,
