label,strategy,vt,sl,tp,session_start,session_end,hold,be,trail,sim_median_pf,sim_trades_per_month,instance,time_s,final_balance,pnl,trades,wr,pf,error
cfg01_vol_spike_bracket_vt0p1_sl0p5_tp3p0,vol_spike_bracket,0.1,0.5,3.0,0,24,6,0.5,0.3,1.6204,43.2,1,1041.0,259.76,-740.24,4622,0.2735,0.9077,
cfg02_vol_spike_bracket_vt0p1_sl0p5_tp3p0,vol_spike_bracket,0.1,0.5,3.0,0,24,12,0.5,0.3,1.6191,43.2,2,41.8,,,0,0,0,
cfg03_vol_spike_bracket_vt0p1_sl0p5_tp3p0,vol_spike_bracket,0.1,0.5,3.0,0,24,24,0.5,0.3,1.6191,43.2,3,42.2,,,0,0,0,
cfg04_momentum_short_vt0p25_sl3p5_tp6p0,momentum_short,0.25,3.5,6.0,7,20,24,1.0,0.0,2.693,14.7,4,708.9,1525.93,525.93,1774,0.6212,1.1048,
cfg05_momentum_short_vt0p25_sl4p0_tp12p0,momentum_short,0.25,4.0,12.0,7,20,24,0.8,0.0,2.7205,14.5,5,695.5,1008.85,8.85,1612,0.6607,0.9859,
cfg06_ema_cross_short_vt0p25_sl3p5_tp8p0,ema_cross_short,0.25,3.5,8.0,7,20,24,1.0,0.0,3.2332,12.2,6,37.6,,,0,0,0,
cfg07_momentum_short_vt0p25_sl3p5_tp10p0,momentum_short,0.25,3.5,10.0,7,20,24,1.0,0.0,2.7343,14.4,1,3.4,,,32,0.3125,1.2991,
cfg08_ema_cross_short_vt0p25_sl3p5_tp8p0,ema_cross_short,0.25,3.5,8.0,7,20,48,1.0,0.0,3.1954,12.2,2,30.5,,,0,0,0,
cfg09_ema_cross_short_vt0p25_sl3p5_tp10p0,ema_cross_short,0.25,3.5,10.0,7,20,24,1.0,0.0,3.2106,12.0,3,662.3,1241.73,241.73,1494,0.6245,1.0443,
cfg10_atr_bracket_vt0p3_sl1p5_tp8p0,atr_bracket,0.3,1.5,8.0,0,24,48,1.0,0.0,1.3152,23.2,4,3.4,,,,,,log unchanged
cfg11_atr_bracket_vt0p3_sl1p5_tp8p0,atr_bracket,0.3,1.5,8.0,0,24,24,1.0,0.0,1.3152,23.2,5,5.5,,,,,,log unchanged
cfg12_atr_bracket_vt0p3_sl2p0_tp8p0,atr_bracket,0.3,2.0,8.0,0,24,12,1.0,0.0,1.3094,23.0,6,962.3,,,2202,0.5005,0.871,
cfg13_fade_short_vt0p15_sl0p5_tp8p0,fade_short,0.15,0.5,8.0,7,20,48,0.0,0.0,1.4112,15.2,1,3.8,,,26,0.2692,0.784,
cfg14_fade_short_vt0p15_sl0p5_tp8p0,fade_short,0.15,0.5,8.0,7,20,48,0.0,0.5,1.4112,15.2,2,644.6,5.56,-994.44,2679,0.053,0.741,
cfg15_fade_short_vt0p15_sl0p5_tp8p0,fade_short,0.15,0.5,8.0,7,20,12,0.0,0.0,1.3821,15.2,3,3.2,1241.73,241.73,3,0.6667,10.1388,
cfg16_fade_long_vt0p1_sl0p5_tp2p0,fade_long,0.1,0.5,2.0,13,20,6,0.5,0.3,1.3712,14.9,4,3.2,1525.93,525.93,8,0.75,5.7577,
cfg17_fade_long_vt0p1_sl0p5_tp2p0,fade_long,0.1,0.5,2.0,13,20,12,0.5,0.3,1.3712,14.9,5,369.5,4212.92,3212.92,3633,0.3479,1.12,
cfg18_fade_long_vt0p1_sl0p5_tp2p0,fade_long,0.1,0.5,2.0,13,20,24,0.5,0.3,1.3712,14.9,6,3.6,,,,,,log unchanged
