label,strategy,vt,sl,tp,session_start,session_end,hold,be,trail,sim_median_pf,sim_trades_per_month,instance,time_s,final_balance,pnl,trades,wr,pf,error
cfg01_fade_long_vt0p06_sl0p3_tp1p5,fade_long,0.06,0.3,1.5,13,20,12,0.5,0.3,0,0,1,39.1,,,0,0,0,
cfg02_fade_long_vt0p06_sl0p3_tp2p0,fade_long,0.06,0.3,2.0,13,20,12,0.5,0.3,0,0,2,38.2,,,0,0,0,
cfg03_fade_long_vt0p06_sl0p3_tp2p5,fade_long,0.06,0.3,2.5,13,20,12,0.5,0.3,0,0,3,558.7,6779.48,5779.48,4573,0.2585,1.1992,
cfg04_fade_long_vt0p06_sl0p3_tp3p0,fade_long,0.06,0.3,3.0,13,20,12,0.5,0.3,0,0,4,560.2,7082.86,6082.86,4573,0.2578,1.2092,
cfg05_fade_long_vt0p06_sl0p5_tp1p5,fade_long,0.06,0.5,1.5,13,20,12,0.5,0.3,0,0,5,554.9,1147.6,147.6,4318,0.3437,1.0072,
cfg06_fade_long_vt0p06_sl0p5_tp2p0,fade_long,0.06,0.5,2.0,13,20,12,0.5,0.3,0,0,6,38.4,,,0,0,0,
cfg07_fade_long_vt0p06_sl0p5_tp2p5,fade_long,0.06,0.5,2.5,13,20,12,0.5,0.3,0,0,1,500.6,2123.52,1123.52,4310,0.3404,1.0461,
cfg08_fade_long_vt0p06_sl0p5_tp3p0,fade_long,0.06,0.5,3.0,13,20,12,0.5,0.3,0,0,2,487.8,2275.85,1275.85,4316,0.3397,1.0496,
cfg09_fade_long_vt0p06_sl0p7_tp1p5,fade_long,0.06,0.7,1.5,13,20,12,0.5,0.3,0,0,3,3.7,,,,,,log unchanged
cfg10_fade_long_vt0p06_sl0p7_tp2p0,fade_long,0.06,0.7,2.0,13,20,12,0.5,0.3,0,0,4,4.3,,,,,,log unchanged
cfg11_fade_long_vt0p06_sl0p7_tp2p5,fade_long,0.06,0.7,2.5,13,20,12,0.5,0.3,0,0,5,5.5,,,,,,log unchanged
cfg12_fade_long_vt0p06_sl0p7_tp3p0,fade_long,0.06,0.7,3.0,13,20,12,0.5,0.3,0,0,6,33.9,,,0,0,0,
cfg13_fade_long_vt0p08_sl0p3_tp1p5,fade_long,0.08,0.3,1.5,13,20,12,0.5,0.3,0,0,1,6.8,,,,,,log unchanged
cfg14_fade_long_vt0p08_sl0p3_tp2p0,fade_long,0.08,0.3,2.0,13,20,12,0.5,0.3,0,0,2,3.4,,,,,,log unchanged
cfg15_fade_long_vt0p08_sl0p3_tp2p5,fade_long,0.08,0.3,2.5,13,20,12,0.5,0.3,0,0,3,3.3,,,26,0.3077,1.0633,
cfg16_fade_long_vt0p08_sl0p3_tp3p0,fade_long,0.08,0.3,3.0,13,20,12,0.5,0.3,0,0,4,3.2,,,,,,log unchanged
cfg17_fade_long_vt0p08_sl0p5_tp1p5,fade_long,0.08,0.5,1.5,13,20,12,0.5,0.3,0,0,5,3.4,,,56,0.375,1.0179,
cfg18_fade_long_vt0p08_sl0p5_tp2p0,fade_long,0.08,0.5,2.0,13,20,12,0.5,0.3,0,0,6,479.6,3663.27,2663.27,3983,0.3465,1.0909,
cfg19_fade_long_vt0p08_sl0p5_tp2p5,fade_long,0.08,0.5,2.5,13,20,12,0.5,0.3,0,0,1,3.7,,,,,,log unchanged
cfg20_fade_long_vt0p08_sl0p5_tp3p0,fade_long,0.08,0.5,3.0,13,20,12,0.5,0.3,0,0,2,689.8,3860.99,2860.99,3983,0.345,1.0969,
cfg21_fade_long_vt0p08_sl0p7_tp1p5,fade_long,0.08,0.7,1.5,13,20,12,0.5,0.3,0,0,3,3.7,6779.48,5779.48,21,0.2381,1.8573,
cfg22_fade_long_vt0p08_sl0p7_tp2p0,fade_long,0.08,0.7,2.0,13,20,12,0.5,0.3,0,0,4,4.1,7082.86,6082.86,29,0.4828,0.4528,
cfg23_fade_long_vt0p08_sl0p7_tp2p5,fade_long,0.08,0.7,2.5,13,20,12,0.5,0.3,0,0,5,4.1,,,,,,log unchanged
cfg24_fade_long_vt0p08_sl0p7_tp3p0,fade_long,0.08,0.7,3.0,13,20,12,0.5,0.3,0,0,6,3.8,,,,,,log unchanged
